# Extracted band/energy data from diamond_pd_projwfc.out
# nkstot   = 2
# nbnd     = 862
# natomwfc = 860
# n_atoms  = 215

# Total k-point blocks found in file = 2
# Analysis mode = SPIN POLARIZED

============================================================
SPIN UP
============================================================

--- k-point 1  (k = 0.0000000000 0.0000000000 0.0000000000) ---

Band 1   energy = -8.30774 eV
149     0.000225       0.000000       0.000000       0.000000       0.000225       
172     0.000225       0.000000       0.000000       0.000000       0.000225       
tot     0.004942       0.000049       0.000061       0.000245       0.992000

Band 18   energy = -6.18019 eV
atom    s              p_x            p_y            p_z            tot            
15      0.000256       0.000000       0.000000       0.000000       0.000256       
17      0.000256       0.000000       0.000000       0.000000       0.000256       
121     0.000196       0.000000       0.000000       0.000000       0.000196       
123     0.000196       0.000000       0.000000       0.000000       0.000196       
208     0.000256       0.000000       0.000000       0.000000       0.000256       
212     0.000256       0.000000       0.000000       0.000000       0.000256       
tot     0.004917       0.000207       0.000202       0.000041       0.992000

Band 19   energy = -6.01247 eV
atom    s              p_x            p_y            p_z            tot            
18      0.000196       0.000000       0.000000       0.000000       0.000196       
19      0.000441       0.000000       0.000000       0.000000       0.000441       
33      0.000196       0.000000       0.000000       0.000000       0.000196       
46      0.000441       0.000004       0.000000       0.000000       0.000445       
73      0.000441       0.000000       0.000004       0.000000       0.000445       
125     0.001024       0.000000       0.000000       0.000000       0.001024       
tot     0.005673       0.000106       0.000067       0.000243       0.992000

Band 20   energy = -5.54623 eV
atom    s              p_x            p_y            p_z            tot            
1       0.000196       0.000000       0.000000       0.000004       0.000200       
52      0.000196       0.000004       0.000000       0.000000       0.000200       
159     0.000676       0.000000       0.000000       0.000000       0.000676       
184     0.000676       0.000000       0.000000       0.000000       0.000676       
205     0.000676       0.000000       0.000000       0.000000       0.000676       
215     0.002209       0.000000       0.000000       0.000001       0.002210       
tot     0.007818       0.000156       0.000179       0.000167       0.993000

Band 21   energy = -5.26381 eV
atom    s              p_x            p_y            p_z            tot            
84      0.000121       0.000001       0.000000       0.000000       0.000122       
88      0.000121       0.000000       0.000001       0.000000       0.000122       
116     0.000576       0.000000       0.000000       0.000000       0.000576       
145     0.000441       0.000000       0.000000       0.000000       0.000441       
176     0.000441       0.000000       0.000000       0.000000       0.000441       
188     0.000441       0.000000       0.000000       0.000000       0.000441       
tot     0.005568       0.000107       0.000068       0.000217       0.993000

Band 22   energy = -5.26048 eV
atom    s              p_x            p_y            p_z            tot            
6       0.000169       0.000000       0.000000       0.000000       0.000169       
45      0.000144       0.000000       0.000000       0.000000       0.000144       
67      0.000144       0.000000       0.000000       0.000000       0.000144       
68      0.000169       0.000000       0.000004       0.000000       0.000173       
89      0.000196       0.000000       0.000001       0.000000       0.000197       
144     0.000144       0.000000       0.000000       0.000000       0.000144       
tot     0.003915       0.000028       0.000477       0.000000       0.993000

Band 23   energy = -5.26047 eV
atom    s              p_x            p_y            p_z            tot            
14      0.000121       0.000000       0.000000       0.000000       0.000121       
23      0.000100       0.000000       0.000000       0.000000       0.000100       
35      0.000100       0.000001       0.000000       0.000000       0.000101       
60      0.000121       0.000000       0.000000       0.000000       0.000121       
98      0.000121       0.000000       0.000000       0.000000       0.000121       
197     0.000100       0.000000       0.000000       0.000000       0.000100       
tot     0.003969       0.000211       0.000001       0.000057       0.993000

Band 24   energy = -5.23182 eV
atom    s              p_x            p_y            p_z            tot            
86      0.000121       0.000000       0.000000       0.000000       0.000121       
97      0.000100       0.000000       0.000000       0.000000       0.000100       
103     0.000121       0.000001       0.000000       0.000000       0.000122       
174     0.000100       0.000000       0.000000       0.000000       0.000100       
186     0.000100       0.000000       0.000000       0.000000       0.000100       
195     0.000100       0.000000       0.000000       0.000000       0.000100       
tot     0.004041       0.000234       0.000000       0.000080       0.993000

Band 25   energy = -5.23182 eV
atom    s              p_x            p_y            p_z            tot            
94      0.000169       0.000000       0.000000       0.000000       0.000169       
95      0.000169       0.000000       0.000000       0.000000       0.000169       
139     0.000144       0.000000       0.000001       0.000000       0.000145       
161     0.000121       0.000000       0.000000       0.000000       0.000121       
164     0.000121       0.000000       0.000000       0.000000       0.000121       
209     0.000121       0.000000       0.000000       0.000000       0.000121       
tot     0.003922       0.000030       0.000471       0.000000       0.993000

Band 26   energy = -5.23075 eV
atom    s              p_x            p_y            p_z            tot            
27      0.000256       0.000000       0.000000       0.000000       0.000256       
30      0.000256       0.000000       0.000000       0.000000       0.000256       
61      0.000256       0.000000       0.000000       0.000000       0.000256       
139     0.000144       0.000000       0.000000       0.000000       0.000144       
168     0.000144       0.000000       0.000000       0.000000       0.000144       
192     0.000144       0.000000       0.000000       0.000000       0.000144       
tot     0.004060       0.000096       0.000024       0.000313       0.993000

Band 27   energy = -5.06808 eV
atom    s              p_x            p_y            p_z            tot            
12      0.000196       0.000000       0.000001       0.000000       0.000197       
16      0.000196       0.000000       0.000000       0.000000       0.000196       
51      0.000196       0.000000       0.000001       0.000000       0.000197       
137     0.000400       0.000000       0.000000       0.000001       0.000401       
162     0.000400       0.000000       0.000000       0.000001       0.000401       
210     0.000400       0.000000       0.000000       0.000000       0.000400       
tot     0.004717       0.000133       0.000082       0.000309       0.993000

Band 28   energy = -4.49529 eV
atom    s              p_x            p_y            p_z            tot            
13      0.000100       0.000025       0.000000       0.000000       0.000125       
41      0.000001       0.000121       0.000000       0.000000       0.000122       
50      0.000100       0.000000       0.000025       0.000000       0.000125       
68      0.000001       0.000000       0.000121       0.000000       0.000122       
77      0.000100       0.000025       0.000000       0.000000       0.000125       
215     0.002304       0.000000       0.000000       0.000000       0.002304       
tot     0.005444       0.000359       0.000381       0.000242       0.993000

Band 29   energy = -4.27559 eV
atom    s              p_x            p_y            p_z            tot            
37      0.000100       0.000000       0.000000       0.000000       0.000100       
50      0.000081       0.000000       0.000001       0.000000       0.000082       
68      0.000100       0.000000       0.000000       0.000000       0.000100       
75      0.000121       0.000000       0.000001       0.000000       0.000122       
127     0.000144       0.000000       0.000001       0.000000       0.000145       
143     0.000169       0.000000       0.000000       0.000000       0.000169       
tot     0.003068       0.000276       0.000274       0.000107       0.993000

Band 30   energy = -4.27559 eV
atom    s              p_x            p_y            p_z            tot            
13      0.000081       0.000000       0.000000       0.000000       0.000081       
41      0.000081       0.000000       0.000000       0.000000       0.000081       
52      0.000121       0.000000       0.000000       0.000000       0.000121       
64      0.000100       0.000000       0.000000       0.000000       0.000100       
131     0.000121       0.000000       0.000000       0.000000       0.000121       
170     0.000144       0.000000       0.000000       0.000000       0.000144       
tot     0.003090       0.000160       0.000165       0.000207       0.993000

Band 31   energy = -4.25129 eV
atom    s              p_x            p_y            p_z            tot            
20      0.000100       0.000000       0.000001       0.000000       0.000101       
82      0.000121       0.000000       0.000001       0.000000       0.000122       
117     0.000144       0.000000       0.000000       0.000000       0.000144       
152     0.000100       0.000000       0.000000       0.000000       0.000100       
155     0.000100       0.000000       0.000000       0.000000       0.000100       
214     0.000121       0.000000       0.000000       0.000000       0.000121       
tot     0.003090       0.000351       0.000369       0.000013       0.993000

Band 32   energy = -4.25129 eV
atom    s              p_x            p_y            p_z            tot            
47      0.000100       0.000000       0.000000       0.000000       0.000100       
105     0.000100       0.000000       0.000000       0.000000       0.000100       
128     0.000121       0.000000       0.000000       0.000000       0.000121       
149     0.000100       0.000000       0.000000       0.000000       0.000100       
181     0.000121       0.000000       0.000000       0.000000       0.000121       
213     0.000100       0.000000       0.000000       0.000000       0.000100       
tot     0.003131       0.000109       0.000114       0.000522       0.993000

Band 33   energy = -4.19558 eV
atom    s              p_x            p_y            p_z            tot            
10      0.000289       0.000000       0.000000       0.000001       0.000290       
49      0.000289       0.000000       0.000000       0.000001       0.000290       
74      0.000289       0.000000       0.000000       0.000001       0.000290       
90      0.000169       0.000000       0.000000       0.000000       0.000169       
125     0.000361       0.000000       0.000000       0.000001       0.000362       
145     0.000121       0.000000       0.000000       0.000000       0.000121       
tot     0.003872       0.000255       0.000264       0.000201       0.993000

Band 34   energy = -3.90890 eV
atom    s              p_x            p_y            p_z            tot            
41      0.000000       0.000100       0.000000       0.000000       0.000100       
68      0.000000       0.000000       0.000121       0.000000       0.000121       
159     0.000576       0.000000       0.000000       0.000000       0.000576       
184     0.000576       0.000000       0.000000       0.000000       0.000576       
205     0.000576       0.000000       0.000000       0.000000       0.000576       
215     0.002809       0.000000       0.000000       0.000000       0.002809       
tot     0.006440       0.000359       0.000393       0.000230       0.994000

Band 35   energy = -3.40042 eV
atom    s              p_x            p_y            p_z            tot            
10      0.000196       0.000000       0.000000       0.000000       0.000196       
14      0.001444       0.000000       0.000000       0.000004       0.001448       
54      0.000169       0.000000       0.000004       0.000000       0.000173       
68      0.000196       0.000009       0.000000       0.000000       0.000205       
196     0.000729       0.000000       0.000000       0.000000       0.000729       
197     0.000841       0.000000       0.000000       0.000004       0.000845       
tot     0.005589       0.000305       0.000480       0.000271       0.994000

Band 36   energy = -3.40040 eV
atom    s              p_x            p_y            p_z            tot            
41      0.001024       0.000001       0.000000       0.000001       0.001026       
68      0.000625       0.000000       0.000000       0.000009       0.000634       
144     0.000361       0.000009       0.000000       0.000000       0.000370       
160     0.000324       0.000001       0.000000       0.000001       0.000326       
173     0.000576       0.000000       0.000001       0.000004       0.000581       
187     0.000529       0.000000       0.000000       0.000000       0.000529       
tot     0.005498       0.000482       0.000346       0.000266       0.994000

Band 37   energy = -3.38198 eV
atom    s              p_x            p_y            p_z            tot            
23      0.000121       0.000001       0.000004       0.000004       0.000130       
27      0.000361       0.000001       0.000001       0.000000       0.000363       
91      0.000784       0.000000       0.000000       0.000000       0.000784       
98      0.000121       0.000000       0.000000       0.000004       0.000125       
129     0.001156       0.000000       0.000000       0.000000       0.001156       
133     0.000400       0.000000       0.000000       0.000004       0.000404       
tot     0.005191       0.000486       0.000359       0.000257       0.994000

Band 38   energy = -3.38198 eV
atom    s              p_x            p_y            p_z            tot            
30      0.000225       0.000001       0.000000       0.000001       0.000227       
100     0.000361       0.000000       0.000000       0.000000       0.000361       
102     0.000529       0.000000       0.000000       0.000000       0.000529       
110     0.000256       0.000001       0.000000       0.000000       0.000257       
118     0.000784       0.000000       0.000000       0.000000       0.000784       
120     0.000529       0.000000       0.000000       0.000000       0.000529       
tot     0.005169       0.000286       0.000474       0.000220       0.994000

Band 39   energy = -3.37810 eV
atom    s              p_x            p_y            p_z            tot            
11      0.000361       0.000000       0.000004       0.000000       0.000365       
13      0.000361       0.000004       0.000000       0.000000       0.000365       
50      0.000361       0.000000       0.000004       0.000000       0.000365       
77      0.000361       0.000004       0.000000       0.000000       0.000365       
134     0.000361       0.000004       0.000000       0.000000       0.000365       
161     0.000361       0.000000       0.000004       0.000000       0.000365       
tot     0.006066       0.000397       0.000418       0.000332       0.994000

Band 40   energy = -3.36348 eV
atom    s              p_x            p_y            p_z            tot            
87      0.000225       0.000000       0.000000       0.000000       0.000225       
89      0.000400       0.000000       0.000000       0.000000       0.000400       
92      0.000484       0.000001       0.000000       0.000000       0.000485       
94      0.000784       0.000000       0.000001       0.000000       0.000785       
137     0.000484       0.000000       0.000009       0.000000       0.000493       
162     0.000289       0.000009       0.000000       0.000000       0.000298       
tot     0.004873       0.000295       0.000259       0.000348       0.994000

Band 41   energy = -3.36347 eV
atom    s              p_x            p_y            p_z            tot            
10      0.000225       0.000001       0.000000       0.000016       0.000242       
98      0.000529       0.000000       0.000000       0.000000       0.000529       
103     0.001156       0.000000       0.000000       0.000004       0.001160       
169     0.000144       0.000009       0.000000       0.000000       0.000153       
188     0.000169       0.000000       0.000000       0.000000       0.000169       
210     0.000676       0.000000       0.000000       0.000016       0.000692       
tot     0.004916       0.000210       0.000233       0.000535       0.994000

Band 42   energy = -3.36238 eV
atom    s              p_x            p_y            p_z            tot            
12      0.000225       0.000000       0.000004       0.000000       0.000229       
16      0.000225       0.000004       0.000000       0.000000       0.000229       
31      0.000225       0.000000       0.000000       0.000004       0.000229       
51      0.000256       0.000000       0.000000       0.000000       0.000256       
56      0.000256       0.000000       0.000000       0.000001       0.000257       
80      0.000256       0.000001       0.000000       0.000000       0.000257       
tot     0.005137       0.000253       0.000233       0.000453       0.994000

Band 43   energy = -3.35726 eV
atom    s              p_x            p_y            p_z            tot            
36      0.000049       0.000121       0.000000       0.000000       0.000170       
38      0.000121       0.000064       0.000000       0.000000       0.000185       
63      0.000049       0.000000       0.000121       0.000000       0.000170       
67      0.000121       0.000000       0.000064       0.000000       0.000185       
90      0.000529       0.000004       0.000000       0.000025       0.000558       
116     0.002601       0.000000       0.000000       0.000000       0.002601       
tot     0.005219       0.000419       0.000449       0.000273       0.994000

Band 44   energy = -3.34960 eV
atom    s              p_x            p_y            p_z            tot            
9       0.000529       0.000001       0.000001       0.000000       0.000531       
23      0.000289       0.000000       0.000000       0.000000       0.000289       
107     0.000441       0.000001       0.000000       0.000000       0.000442       
157     0.000225       0.000009       0.000000       0.000000       0.000234       
186     0.000225       0.000000       0.000004       0.000000       0.000229       
205     0.000324       0.000001       0.000001       0.000000       0.000326       
tot     0.004636       0.000257       0.000240       0.000297       0.994000

Band 45   energy = -3.34959 eV
atom    s              p_x            p_y            p_z            tot            
36      0.000289       0.000000       0.000001       0.000000       0.000290       
63      0.000289       0.000004       0.000000       0.000000       0.000293       
84      0.000256       0.000000       0.000000       0.000004       0.000260       
88      0.000256       0.000001       0.000000       0.000001       0.000258       
193     0.000256       0.000004       0.000000       0.000000       0.000260       
195     0.000256       0.000000       0.000004       0.000000       0.000260       
tot     0.004710       0.000217       0.000172       0.000567       0.994000

Band 46   energy = -3.33241 eV
atom    s              p_x            p_y            p_z            tot            
6       0.000225       0.000000       0.000000       0.000000       0.000225       
8       0.000225       0.000000       0.000000       0.000000       0.000225       
35      0.000225       0.000001       0.000000       0.000000       0.000226       
45      0.000225       0.000000       0.000000       0.000000       0.000225       
60      0.000225       0.000000       0.000001       0.000000       0.000226       
72      0.000225       0.000000       0.000001       0.000000       0.000226       
tot     0.004450       0.000291       0.000240       0.000354       0.994000

Band 47   energy = -3.32625 eV
atom    s              p_x            p_y            p_z            tot            
5       0.000784       0.000000       0.000000       0.000016       0.000800       
86      0.000361       0.000000       0.000000       0.000001       0.000362       
107     0.000169       0.000000       0.000000       0.000000       0.000169       
117     0.000289       0.000000       0.000000       0.000004       0.000293       
124     0.000576       0.000000       0.000000       0.000000       0.000576       
188     0.000400       0.000004       0.000001       0.000009       0.000414       
tot     0.004762       0.000314       0.000280       0.000389       0.994000

Band 48   energy = -3.32623 eV
atom    s              p_x            p_y            p_z            tot            
44      0.000441       0.000004       0.000000       0.000000       0.000445       
69      0.000441       0.000000       0.000004       0.000000       0.000445       
113     0.000324       0.000000       0.000000       0.000000       0.000324       
115     0.000324       0.000000       0.000001       0.000000       0.000325       
145     0.000225       0.000001       0.000000       0.000009       0.000235       
176     0.000225       0.000000       0.000000       0.000016       0.000241       
tot     0.004781       0.000269       0.000291       0.000307       0.994000

Band 49   energy = -3.29917 eV
atom    s              p_x            p_y            p_z            tot            
44      0.000144       0.000016       0.000000       0.000000       0.000160       
101     0.000576       0.000000       0.000000       0.000000       0.000576       
105     0.000729       0.000000       0.000000       0.000000       0.000729       
121     0.000256       0.000000       0.000001       0.000000       0.000257       
123     0.000324       0.000001       0.000000       0.000000       0.000325       
149     0.000121       0.000000       0.000025       0.000000       0.000146       
tot     0.004729       0.000335       0.000478       0.000172       0.994000

Band 50   energy = -3.29914 eV
atom    s              p_x            p_y            p_z            tot            
5       0.000256       0.000000       0.000000       0.000025       0.000281       
82      0.001156       0.000000       0.000000       0.000000       0.001156       
107     0.000169       0.000000       0.000000       0.000009       0.000178       
108     0.000169       0.000004       0.000000       0.000004       0.000177       
112     0.000484       0.000000       0.000000       0.000000       0.000484       
205     0.000196       0.000001       0.000000       0.000000       0.000197       
tot     0.004793       0.000349       0.000311       0.000356       0.994000

Band 51   energy = -3.29491 eV
atom    s              p_x            p_y            p_z            tot            
2       0.000289       0.000004       0.000000       0.000000       0.000293       
4       0.000289       0.000000       0.000001       0.000000       0.000290       
43      0.000289       0.000000       0.000004       0.000000       0.000293       
53      0.000256       0.000000       0.000000       0.000004       0.000260       
66      0.000256       0.000004       0.000000       0.000000       0.000260       
78      0.000256       0.000000       0.000000       0.000004       0.000260       
tot     0.005378       0.000433       0.000488       0.000240       0.994000

Band 52   energy = -3.29136 eV
atom    s              p_x            p_y            p_z            tot            
20      0.000256       0.000009       0.000004       0.000000       0.000269       
22      0.000256       0.000001       0.000004       0.000004       0.000265       
127     0.000324       0.000000       0.000000       0.000000       0.000324       
131     0.000289       0.000000       0.000000       0.000000       0.000289       
139     0.000361       0.000001       0.000000       0.000000       0.000362       
168     0.000324       0.000000       0.000004       0.000000       0.000328       
tot     0.004675       0.000248       0.000245       0.000515       0.994000

Band 53   energy = -3.29133 eV
atom    s              p_x            p_y            p_z            tot            
18      0.000225       0.000000       0.000000       0.000009       0.000234       
47      0.000169       0.000000       0.000009       0.000000       0.000178       
76      0.000196       0.000004       0.000000       0.000004       0.000204       
108     0.000529       0.000000       0.000000       0.000000       0.000529       
192     0.000576       0.000000       0.000000       0.000000       0.000576       
206     0.000400       0.000004       0.000000       0.000000       0.000404       
tot     0.004588       0.000325       0.000313       0.000234       0.994000

Band 54   energy = -3.27329 eV
atom    s              p_x            p_y            p_z            tot            
90      0.000361       0.000000       0.000000       0.000000       0.000361       
99      0.003249       0.000000       0.000000       0.000004       0.003253       
125     0.001089       0.000009       0.000000       0.000049       0.001147       
