# Extracted band/energy data from diamond_pd_projwfc.out
# nkstot   = 2
# nbnd     = 860
# natomwfc = 860
# n_atoms  = 215

# Total k-point blocks found in file = 2
# Analysis mode = SPIN POLARIZED

============================================================
SPIN UP
============================================================

--- k-point 1  (k = 0.0000000000 0.0000000000 0.0000000000) ---

Band 1   energy = -8.29789 eV
143     0.000121       0.000000       0.000001       0.000000       0.000122       
144     0.000144       0.000000       0.000000       0.000000       0.000144       
178     0.000169       0.000000       0.000000       0.000000       0.000169       
190     0.000169       0.000000       0.000000       0.000000       0.000169       
tot     0.003924       0.000010       0.000521       0.000000       0.993000

Band 23   energy = -5.24688 eV
atom    s              p_x            p_y            p_z            tot            
27      0.000169       0.000000       0.000000       0.000001       0.000170       
30      0.000169       0.000000       0.000000       0.000001       0.000170       
116     0.000324       0.000000       0.000000       0.000000       0.000324       
145     0.000400       0.000000       0.000000       0.000000       0.000400       
176     0.000400       0.000000       0.000000       0.000000       0.000400       
188     0.000400       0.000000       0.000000       0.000000       0.000400       
tot     0.005426       0.000114       0.000098       0.000206       0.993000

Band 24   energy = -5.21840 eV
atom    s              p_x            p_y            p_z            tot            
21      0.000100       0.000000       0.000000       0.000000       0.000100       
25      0.000100       0.000000       0.000000       0.000000       0.000100       
28      0.000100       0.000000       0.000000       0.000000       0.000100       
48      0.000100       0.000000       0.000000       0.000000       0.000100       
99      0.000121       0.000000       0.000000       0.000000       0.000121       
125     0.000121       0.000000       0.000000       0.000000       0.000121       
tot     0.003679       0.000075       0.000009       0.000333       0.993000

Band 25   energy = -5.21589 eV
atom    s              p_x            p_y            p_z            tot            
12      0.000100       0.000000       0.000001       0.000000       0.000101       
51      0.000100       0.000000       0.000001       0.000000       0.000101       
73      0.000121       0.000000       0.000001       0.000000       0.000122       
75      0.000121       0.000000       0.000000       0.000000       0.000121       
96      0.000100       0.000000       0.000000       0.000000       0.000100       
158     0.000100       0.000000       0.000000       0.000000       0.000100       
tot     0.004039       0.000127       0.000286       0.000000       0.993000

Band 26   energy = -5.21588 eV
atom    s              p_x            p_y            p_z            tot            
