# EIG file: diamond.EIG   fdf file: diamond_scf.fdf
# Fermi energy (eV): -6.070552
# ElectronicTemperature: 0.025852 eV   OccupationFunction: FD   OccupationMPOrder: 1   degeneracy: 2.0
# k-index  spin  band  eigenvalue(eV)  occupation
    19     1     16       47.691229    0.000000
    19     1     17       49.740921    0.000000
    19     1     18       61.095533    0.000000
    19     1     19       62.590927    0.000000
    19     1     20       63.547210    0.000000
    19     1     21       78.558853    0.000000
    19     1     22       79.379887    0.000000
    19     1     23       90.160364    0.000000
    19     1     24       96.231067    0.000000
    19     1     25      108.306014    0.000000
    19     1     26      191.588990    0.000000
    20     1      1      -24.044954    2.000000
    20     1      2      -17.864478    2.000000
    20     1      3      -13.074037    2.000000
    20     1      4      -10.427538    2.000000
    20     1      5        0.659506    0.000000
    20     1      6        2.032704    0.000000
    20     1      7        3.562127    0.000000
    20     1      8        7.482057    0.000000
    20     1      9       12.799790    0.000000
    20     1     10       16.373793    0.000000
    20     1     11       19.205425    0.000000
    20     1     12       31.942684    0.000000
    20     1     13       34.491279    0.000000
    20     1     14       35.293859    0.000000
    20     1     15       45.985004    0.000000
    20     1     16       47.638353    0.000000
    20     1     17       54.068739    0.000000
    20     1     18       58.368656    0.000000
    20     1     19       59.623585    0.000000
    20     1     20       61.545295    0.000000
    20     1     21       75.601096    0.000000
    20     1     22       86.219279    0.000000
    20     1     23       99.051500    0.000000
    20     1     24      100.006521    0.000000
    20     1     25      105.489769    0.000000
    20     1     26      157.920232    0.000000
    21     1      1      -22.779885    2.000000
    21     1      2      -17.982789    2.000000
    21     1      3      -15.244842    2.000000
    21     1      4      -11.291286    2.000000
    21     1      5       -0.127605    0.000000
    21     1      6        3.683861    0.000000
    21     1      7        5.605767    0.000000
    21     1      8        7.265581    0.000000
    21     1      9       10.450076    0.000000
    21     1     10       16.974984    0.000000
    21     1     11       18.786230    0.000000
    21     1     12       33.892685    0.000000
    21     1     13       35.327954    0.000000
    21     1     14       37.784742    0.000000
    21     1     15       47.189806    0.000000
    21     1     16       48.846407    0.000000
    21     1     17       53.045188    0.000000
    21     1     18       56.797050    0.000000
    21     1     19       59.031059    0.000000
    21     1     20       61.779942    0.000000
    21     1     21       71.893295    0.000000
    21     1     22       72.677818    0.000000
    21     1     23      100.702034    0.000000
    21     1     24      104.025243    0.000000
    21     1     25      134.544466    0.000000
    21     1     26      159.399306    0.000000
    22     1      1      -21.379512    2.000000
    22     1      2      -18.298614    2.000000
    22     1      3      -16.661603    2.000000
    22     1      4      -12.105532    2.000000
    22     1      5       -0.960914    0.000000
    22     1      6        5.300138    0.000000
    22     1      7        6.010434    0.000000
    22     1      8        7.331636    0.000000
    22     1      9        9.505752    0.000000
    22     1     10       18.047144    0.000000
    22     1     11       18.804245    0.000000
    22     1     12       33.259458    0.000000
    22     1     13       34.957894    0.000000
    22     1     14       43.674946    0.000000
    22     1     15       47.742544    0.000000
    22     1     16       49.170548    0.000000
    22     1     17       49.247689    0.000000
    22     1     18       60.298540    0.000000
    22     1     19       60.395667    0.000000
    22     1     20       61.548595    0.000000
    22     1     21       67.136037    0.000000
    22     1     22       69.261997    0.000000
    22     1     23      108.051718    0.000000
    22     1     24      110.668394    0.000000
    22     1     25      148.539738    0.000000
    22     1     26      164.303545    0.000000
    23     1      1      -20.839189    2.000000
    23     1      2      -18.849324    2.000000
    23     1      3      -16.207162    2.000000
    23     1      4      -12.707654    2.000000
    23     1      5       -1.615136    0.000000
    23     1      6        3.390202    0.000000
    23     1      7        6.517276    0.000000
    23     1      8        7.576119    0.000000
    23     1      9       11.488316    0.000000
    23     1     10       17.126273    0.000000
    23     1     11       21.766510    0.000000
    23     1     12       32.958072    0.000000
    23     1     13       34.134686    0.000000
    23     1     14       44.241965    0.000000
    23     1     15       45.919058    0.000000
    23     1     16       48.714290    0.000000
    23     1     17       51.724858    0.000000
    23     1     18       59.164173    0.000000
    23     1     19       61.959394    0.000000
    23     1     20       64.135530    0.000000
    23     1     21       71.626823    0.000000
    23     1     22       77.823554    0.000000
    23     1     23      113.075783    0.000000
    23     1     24      115.613450    0.000000
    23     1     25      126.837811    0.000000
    23     1     26      177.212384    0.000000
    24     1      1      -22.176065    2.000000
    24     1      2      -17.618603    2.000000
    24     1      3      -14.972593    2.000000
    24     1      4      -13.022996    2.000000
    24     1      5       -2.106265    0.000000
    24     1      6        0.977470    0.000000
    24     1      7        7.178202    0.000000
    24     1      8        7.539775    0.000000
    24     1      9       13.672633    0.000000
    24     1     10       16.211596    0.000000
    24     1     11       25.106631    0.000000
    24     1     12       33.478473    0.000000
    24     1     13       33.686580    0.000000
    24     1     14       40.807970    0.000000
    24     1     15       45.353049    0.000000
    24     1     16       50.467714    0.000000
    24     1     17       54.412877    0.000000
    24     1     18       56.133382    0.000000
    24     1     19       60.218624    0.000000
    24     1     20       65.007906    0.000000
    24     1     21       78.450441    0.000000
    24     1     22       90.063068    0.000000
    24     1     23      105.637753    0.000000
    24     1     24      120.022596    0.000000
    24     1     25      121.479144    0.000000
    24     1     26      176.036685    0.000000
    25     1      1      -24.237058    2.000000
    25     1      2      -16.018839    2.000000
    25     1      3      -13.148191    2.000000
    25     1      4      -12.348052    2.000000
    25     1      5       -1.832509    0.000000
    25     1      6        2.398177    0.000000
    25     1      7        5.416270    0.000000
    25     1      8        5.547110    0.000000
    25     1      9       14.483823    0.000000
    25     1     10       15.923735    0.000000
    25     1     11       24.617080    0.000000
    25     1     12       32.224204    0.000000
    25     1     13       33.885284    0.000000
    25     1     14       39.474236    0.000000
    25     1     15       45.544512    0.000000
    25     1     16       50.200372    0.000000
    25     1     17       51.137139    0.000000
    25     1     18       53.347035    0.000000
    25     1     19       64.822250    0.000000
    25     1     20       82.473215    0.000000
    25     1     21       86.170679    0.000000
    25     1     22       86.407784    0.000000
    25     1     23       94.208985    0.000000
    25     1     24      122.688692    0.000000
    25     1     25      125.443843    0.000000
    25     1     26      134.134162    0.000000
    26     1      1      -25.484111    2.000000
    26     1      2      -13.861457    2.000000
    26     1      3      -12.166356    2.000000
    26     1      4      -12.095577    2.000000
    26     1      5       -2.646895    0.000000
    26     1      6        2.307541    0.000000
    26     1      7        5.014380    0.000000
    26     1      8        5.021050    0.000000
    26     1      9       14.598737    0.000000
    26     1     10       16.105340    0.000000
    26     1     11       24.401901    0.000000
    26     1     12       34.094243    0.000000
    26     1     13       36.105973    0.000000
    26     1     14       38.064314    0.000000
    26     1     15       43.122841    0.000000
    26     1     16       43.598938    0.000000
    26     1     17       52.732738    0.000000
    26     1     18       54.551773    0.000000
    26     1     19       78.274600    0.000000
    26     1     20       85.515457    0.000000
    26     1     21       87.223538    0.000000
    26     1     22       87.307395    0.000000
    26     1     23       99.008284    0.000000
    26     1     24      103.731943    0.000000
    26     1     25      127.310895    0.000000
    26     1     26      142.117985    0.000000
    27     1      1      -26.399757    2.000000
    27     1      2      -12.010346    2.000000
    27     1      3      -11.547910    2.000000
    27     1      4      -11.547879    2.000000
    27     1      5       -2.967987    0.000000
    27     1      6        3.466472    0.000000
    27     1      7        4.007118    0.000000
    27     1      8        4.007167    0.000000
    27     1      9       13.936721    0.000000
    27     1     10       16.489514    0.000000
    27     1     11       23.648750    0.000000
    27     1     12       35.011852    0.000000
    27     1     13       35.011874    0.000000
    27     1     14       39.340447    0.000000
    27     1     15       40.755941    0.000000
    27     1     16       40.755985    0.000000
    27     1     17       51.028485    0.000000
    27     1     18       59.437527    0.000000
    27     1     19       62.563784    0.000000
    27     1     20       85.103816    0.000000
    27     1     21       85.105391    0.000000
    27     1     22       85.350196    0.000000
    27     1     23      113.504416    0.000000
    27     1     24      117.489870    0.000000
    27     1     25      128.710145    0.000000
    27     1     26      128.712104    0.000000
    28     1      1      -26.954314    2.000000
    28     1      2      -12.101631    2.000000
    28     1      3      -10.766221    2.000000
    28     1      4      -10.160794    2.000000
    28     1      5       -2.238593    0.000000
    28     1      6        2.550598    0.000000
    28     1      7        2.600755    0.000000
    28     1      8        5.097463    0.000000
    28     1      9       13.740466    0.000000
    28     1     10       16.176320    0.000000
    28     1     11       21.798827    0.000000
    28     1     12       29.323002    0.000000
    28     1     13       34.853359    0.000000
    28     1     14       38.973514    0.000000
    28     1     15       40.233286    0.000000
    28     1     16       40.648445    0.000000
    28     1     17       49.150528    0.000000
    28     1     18       58.201823    0.000000
    28     1     19       63.464192    0.000000
    28     1     20       81.912707    0.000000
