# Extracted band/energy data from diamond_pd_projwfc.out
# nkstot   = 2
# nbnd     = 864
# natomwfc = 860
# n_atoms  = 215

# Total k-point blocks found in file = 2
# Analysis mode = SPIN POLARIZED

============================================================
SPIN UP
============================================================

--- k-point 1  (k = 0.0000000000 0.0000000000 0.0000000000) ---

Band 1   energy = -8.38031 eV
49      0.000256       0.000000       0.000000       0.000004       0.000260       
74      0.000256       0.000000       0.000000       0.000004       0.000260       
90      0.000256       0.000000       0.000000       0.000000       0.000256       
125     0.000729       0.000000       0.000000       0.000000       0.000729       
tot     0.004098       0.000274       0.000261       0.000267       0.993000

Band 34   energy = -3.88509 eV
atom    s              p_x            p_y            p_z            tot            
41      0.000004       0.000196       0.000000       0.000004       0.000204       
68      0.000004       0.000001       0.000225       0.000000       0.000230       
159     0.000289       0.000000       0.000000       0.000000       0.000289       
184     0.000289       0.000000       0.000000       0.000000       0.000289       
205     0.000289       0.000000       0.000000       0.000000       0.000289       
215     0.004624       0.000000       0.000000       0.000004       0.004628       
tot     0.007362       0.000417       0.000485       0.000205       0.994000

Band 35   energy = -3.47374 eV
atom    s              p_x            p_y            p_z            tot            
11      0.000361       0.000000       0.000004       0.000000       0.000365       
13      0.000361       0.000001       0.000000       0.000001       0.000363       
40      0.000361       0.000001       0.000001       0.000000       0.000363       
50      0.000361       0.000000       0.000004       0.000000       0.000365       
65      0.000361       0.000000       0.000004       0.000000       0.000365       
77      0.000361       0.000001       0.000000       0.000001       0.000363       
tot     0.006079       0.000404       0.000431       0.000343       0.994000

Band 36   energy = -3.46689 eV
atom    s              p_x            p_y            p_z            tot            
61      0.000225       0.000000       0.000000       0.000001       0.000226       
67      0.000289       0.000000       0.000016       0.000000       0.000305       
100     0.000576       0.000000       0.000001       0.000000       0.000577       
102     0.000225       0.000000       0.000000       0.000000       0.000225       
118     0.000324       0.000000       0.000000       0.000000       0.000324       
120     0.000841       0.000000       0.000000       0.000000       0.000841       
tot     0.005081       0.000360       0.000310       0.000276       0.994000

Band 37   energy = -3.46688 eV
atom    s              p_x            p_y            p_z            tot            
23      0.000324       0.000001       0.000004       0.000001       0.000330       
27      0.000256       0.000001       0.000004       0.000000       0.000261       
91      0.000625       0.000000       0.000000       0.000000       0.000625       
98      0.000225       0.000000       0.000000       0.000001       0.000226       
118     0.000196       0.000000       0.000000       0.000000       0.000196       
129     0.000900       0.000000       0.000000       0.000001       0.000901       
tot     0.004973       0.000321       0.000546       0.000218       0.994000

Band 38   energy = -3.45445 eV
atom    s              p_x            p_y            p_z            tot            
10      0.000441       0.000000       0.000000       0.000000       0.000441       
14      0.000289       0.000000       0.000000       0.000009       0.000298       
91      0.000100       0.000000       0.000009       0.000036       0.000145       
196     0.000676       0.000000       0.000000       0.000000       0.000676       
197     0.001444       0.000000       0.000000       0.000000       0.001444       
205     0.000324       0.000000       0.000000       0.000000       0.000324       
tot     0.005450       0.000379       0.000446       0.000243       0.994000

Band 39   energy = -3.45444 eV
atom    s              p_x            p_y            p_z            tot            
49      0.000256       0.000000       0.000000       0.000000       0.000256       
74      0.000256       0.000000       0.000000       0.000000       0.000256       
144     0.000841       0.000001       0.000000       0.000000       0.000842       
160     0.000400       0.000000       0.000000       0.000000       0.000400       
173     0.000784       0.000000       0.000001       0.000000       0.000785       
187     0.000361       0.000000       0.000001       0.000000       0.000362       
tot     0.005413       0.000366       0.000379       0.000278       0.994000

Band 40   energy = -3.44163 eV
atom    s              p_x            p_y            p_z            tot            
83      0.000225       0.000004       0.000000       0.000000       0.000229       
85      0.000225       0.000000       0.000004       0.000000       0.000229       
93      0.000225       0.000001       0.000000       0.000000       0.000226       
96      0.000225       0.000000       0.000000       0.000004       0.000229       
104     0.000225       0.000000       0.000000       0.000001       0.000226       
106     0.000225       0.000000       0.000000       0.000004       0.000229       
tot     0.004992       0.000281       0.000251       0.000492       0.994000

Band 41   energy = -3.42534 eV
atom    s              p_x            p_y            p_z            tot            
36      0.000036       0.000100       0.000000       0.000000       0.000136       
38      0.000100       0.000064       0.000000       0.000000       0.000164       
67      0.000100       0.000000       0.000064       0.000000       0.000164       
90      0.000441       0.000004       0.000000       0.000025       0.000470       
99      0.000225       0.000004       0.000000       0.000016       0.000245       
116     0.002209       0.000000       0.000000       0.000000       0.002209       
tot     0.004869       0.000412       0.000410       0.000292       0.994000

Band 42   energy = -3.42416 eV
atom    s              p_x            p_y            p_z            tot            
49      0.000225       0.000004       0.000000       0.000009       0.000238       
74      0.000196       0.000000       0.000000       0.000009       0.000205       
92      0.000529       0.000000       0.000000       0.000000       0.000529       
94      0.000441       0.000000       0.000000       0.000000       0.000441       
137     0.000289       0.000000       0.000004       0.000000       0.000293       
162     0.000324       0.000009       0.000000       0.000000       0.000333       
tot     0.004665       0.000246       0.000265       0.000306       0.994000

Band 43   energy = -3.42416 eV
atom    s              p_x            p_y            p_z            tot            
10      0.000361       0.000001       0.000000       0.000016       0.000378       
103     0.000900       0.000000       0.000000       0.000000       0.000900       
117     0.000256       0.000000       0.000000       0.000000       0.000256       
133     0.000289       0.000000       0.000000       0.000000       0.000289       
188     0.000256       0.000004       0.000000       0.000000       0.000260       
210     0.000576       0.000000       0.000000       0.000025       0.000601       
tot     0.004714       0.000275       0.000208       0.000435       0.994000

Band 44   energy = -3.40695 eV
atom    s              p_x            p_y            p_z            tot            
9       0.000289       0.000001       0.000000       0.000000       0.000290       
43      0.000289       0.000001       0.000000       0.000000       0.000290       
117     0.000289       0.000000       0.000000       0.000001       0.000290       
142     0.000256       0.000000       0.000000       0.000000       0.000256       
