# Extracted band/energy data from diamond_pd_projwfc.out
# nkstot   = 2
# nbnd     = 861
# natomwfc = 864
# n_atoms  = 216

# Total k-point blocks found in file = 2
# Analysis mode = SPIN POLARIZED

============================================================
SPIN UP
============================================================

--- k-point 1  (k = 0.0000000000 0.0000000000 0.0000000000) ---

Band 1   energy = -8.14458 eV
34      0.000196       0.000001       0.000000       0.000000       0.000197       
45      0.000256       0.000000       0.000000       0.000001       0.000257       
129     0.000169       0.000004       0.000000       0.000000       0.000173       
131     0.000256       0.000000       0.000000       0.000000       0.000256       
184     0.000324       0.000000       0.000000       0.000004       0.000328       
tot     0.004081       0.000182       0.000089       0.000503       0.994000

Band 43   energy = -3.20566 eV
atom    s              p_x            p_y            p_z            tot            
53      0.000169       0.000000       0.000000       0.000004       0.000173       
60      0.000289       0.000000       0.000000       0.000000       0.000289       
99      0.000144       0.000000       0.000000       0.000000       0.000144       
149     0.000225       0.000000       0.000000       0.000000       0.000225       
168     0.000225       0.000000       0.000000       0.000009       0.000234       
212     0.000144       0.000000       0.000004       0.000000       0.000148       
tot     0.003522       0.000233       0.000160       0.000318       0.994000

Band 44   energy = -3.20566 eV
atom    s              p_x            p_y            p_z            tot            
45      0.000169       0.000000       0.000000       0.000000       0.000169       
85      0.000225       0.000000       0.000004       0.000000       0.000229       
97      0.000900       0.000000       0.000000       0.000000       0.000900       
192     0.000196       0.000000       0.000000       0.000000       0.000196       
193     0.000144       0.000000       0.000000       0.000000       0.000144       
205     0.000225       0.000000       0.000004       0.000004       0.000233       
tot     0.004062       0.000341       0.000521       0.000098       0.994000

Band 45   energy = -3.20566 eV
atom    s              p_x            p_y            p_z            tot            
22      0.000225       0.000000       0.000000       0.000000       0.000225       
98      0.000441       0.000004       0.000000       0.000000       0.000445       
106     0.000144       0.000000       0.000000       0.000000       0.000144       
141     0.000144       0.000000       0.000000       0.000000       0.000144       
170     0.000144       0.000016       0.000000       0.000000       0.000160       
211     0.000400       0.000000       0.000000       0.000000       0.000400       
tot     0.003855       0.000328       0.000186       0.000287       0.994000

Band 46   energy = -3.20566 eV
atom    s              p_x            p_y            p_z            tot            
30      0.000169       0.000000       0.000000       0.000000       0.000169       
44      0.000169       0.000000       0.000001       0.000000       0.000170       
99      0.000144       0.000000       0.000000       0.000009       0.000153       
119     0.000196       0.000000       0.000000       0.000000       0.000196       
126     0.000144       0.000009       0.000000       0.000000       0.000153       
208     0.000289       0.000004       0.000000       0.000000       0.000293       
tot     0.003580       0.000286       0.000107       0.000360       0.994000

