# Extracted band/energy data from diamond_pd_projwfc.out
# nkstot   = 2
# nbnd     = 860
# natomwfc = 860
# n_atoms  = 215

# Total k-point blocks found in file = 2
# Analysis mode = SPIN POLARIZED

============================================================
SPIN UP
============================================================

--- k-point 1  (k = 0.0000000000 0.0000000000 0.0000000000) ---

Band 1   energy = -8.24938 eV
tot     0.007442       0.000163       0.000169       0.000189       0.993000

Band 21   energy = -5.24168 eV
atom    s              p_x            p_y            p_z            tot            
27      0.000196       0.000000       0.000000       0.000001       0.000197       
30      0.000196       0.000000       0.000000       0.000001       0.000197       
116     0.000289       0.000000       0.000000       0.000000       0.000289       
145     0.000400       0.000000       0.000000       0.000000       0.000400       
176     0.000400       0.000000       0.000000       0.000000       0.000400       
188     0.000400       0.000000       0.000000       0.000000       0.000400       
tot     0.005501       0.000114       0.000096       0.000201       0.993000

Band 22   energy = -5.24135 eV
atom    s              p_x            p_y            p_z            tot            
114     0.000100       0.000000       0.000000       0.000000       0.000100       
143     0.000081       0.000000       0.000001       0.000000       0.000082       
144     0.000081       0.000000       0.000000       0.000000       0.000081       
178     0.000100       0.000000       0.000000       0.000000       0.000100       
185     0.000081       0.000000       0.000000       0.000000       0.000081       
189     0.000081       0.000000       0.000000       0.000000       0.000081       
tot     0.003925       0.000000       0.000446       0.000050       0.993000

Band 23   energy = -5.24135 eV
atom    s              p_x            p_y            p_z            tot            
105     0.000121       0.000000       0.000000       0.000000       0.000121       
110     0.000121       0.000000       0.000000       0.000000       0.000121       
151     0.000144       0.000000       0.000000       0.000000       0.000144       
170     0.000121       0.000000       0.000000       0.000000       0.000121       
173     0.000144       0.000000       0.000000       0.000000       0.000144       
194     0.000144       0.000000       0.000000       0.000000       0.000144       
tot     0.003959       0.000421       0.000019       0.000001       0.993000

Band 24   energy = -5.22088 eV
atom    s              p_x            p_y            p_z            tot            
11      0.000121       0.000000       0.000000       0.000000       0.000121       
50      0.000121       0.000000       0.000000       0.000000       0.000121       
73      0.000121       0.000000       0.000004       0.000000       0.000125       
75      0.000121       0.000000       0.000000       0.000000       0.000121       
94      0.000100       0.000000       0.000004       0.000000       0.000104       
160     0.000100       0.000000       0.000004       0.000000       0.000104       
tot     0.003988       0.000000       0.000556       0.000005       0.993000

Band 25   energy = -5.22087 eV
atom    s              p_x            p_y            p_z            tot            
13      0.000121       0.000000       0.000000       0.000000       0.000121       
46      0.000121       0.000001       0.000000       0.000000       0.000122       
52      0.000121       0.000000       0.000000       0.000000       0.000121       
77      0.000121       0.000000       0.000000       0.000000       0.000121       
187     0.000100       0.000004       0.000000       0.000000       0.000104       
199     0.000100       0.000004       0.000000       0.000000       0.000104       
tot     0.003963       0.000422       0.000002       0.000007       0.993000

Band 26   energy = -5.22042 eV
atom    s              p_x            p_y            p_z            tot            
21      0.000100       0.000000       0.000000       0.000000       0.000100       
25      0.000100       0.000000       0.000000       0.000000       0.000100       
28      0.000100       0.000000       0.000000       0.000000       0.000100       
48      0.000100       0.000000       0.000000       0.000000       0.000100       
55      0.000100       0.000000       0.000000       0.000000       0.000100       
125     0.000121       0.000000       0.000000       0.000000       0.000121       
tot     0.003613       0.000069       0.000007       0.000359       0.993000

Band 27   energy = -5.09949 eV
atom    s              p_x            p_y            p_z            tot            
10      0.000225       0.000000       0.000000       0.000000       0.000225       
49      0.000225       0.000000       0.000000       0.000000       0.000225       
74      0.000225       0.000000       0.000000       0.000000       0.000225       
137     0.000256       0.000000       0.000000       0.000001       0.000257       
162     0.000256       0.000000       0.000000       0.000004       0.000260       
210     0.000256       0.000000       0.000000       0.000001       0.000257       
tot     0.004661       0.000142       0.000087       0.000255       0.993000

Band 28   energy = -4.48143 eV
atom    s              p_x            p_y            p_z            tot            
5       0.000225       0.000004       0.000000       0.000004       0.000233       
41      0.000009       0.000144       0.000000       0.000000       0.000153       
44      0.000225       0.000000       0.000000       0.000009       0.000234       
68      0.000009       0.000000       0.000169       0.000000       0.000178       
69      0.000225       0.000001       0.000000       0.000009       0.000235       
215     0.003364       0.000000       0.000000       0.000004       0.003368       
tot     0.006749       0.000376       0.000395       0.000284       0.993000

Band 29   energy = -4.24022 eV
atom    s              p_x            p_y            p_z            tot            
16      0.000064       0.000000       0.000000       0.000000       0.000064       
33      0.000081       0.000000       0.000000       0.000000       0.000081       
42      0.000064       0.000000       0.000000       0.000000       0.000064       
92      0.000081       0.000000       0.000000       0.000000       0.000081       
123     0.000081       0.000000       0.000000       0.000000       0.000081       
135     0.000081       0.000000       0.000000       0.000000       0.000081       
tot     0.002996       0.000103       0.000104       0.000552       0.992000

Band 30   energy = -4.24020 eV
atom    s              p_x            p_y            p_z            tot            
18      0.000121       0.000000       0.000000       0.000000       0.000121       
31      0.000100       0.000000       0.000000       0.000000       0.000100       
56      0.000081       0.000000       0.000000       0.000000       0.000081       
103     0.000121       0.000000       0.000001       0.000000       0.000122       
112     0.000121       0.000000       0.000000       0.000000       0.000121       
147     0.000081       0.000000       0.000001       0.000000       0.000082       
tot     0.002964       0.000305       0.000316       0.000021       0.992000

Band 31   energy = -4.22594 eV
atom    s              p_x            p_y            p_z            tot            
6       0.000081       0.000000       0.000000       0.000000       0.000081       
26      0.000100       0.000000       0.000000       0.000000       0.000100       
29      0.000100       0.000000       0.000000       0.000000       0.000100       
63      0.000121       0.000000       0.000000       0.000000       0.000121       
88      0.000081       0.000000       0.000000       0.000000       0.000081       
138     0.000121       0.000000       0.000001       0.000000       0.000122       
tot     0.003084       0.000287       0.000239       0.000107       0.993000

Band 32   energy = -4.22593 eV
atom    s              p_x            p_y            p_z            tot            
8       0.000064       0.000000       0.000000       0.000000       0.000064       
24      0.000081       0.000000       0.000000       0.000000       0.000081       
36      0.000100       0.000000       0.000000       0.000000       0.000100       
58      0.000081       0.000000       0.000000       0.000000       0.000081       
