# Extracted band/energy data from diamond_pd_projwfc.out
# nkstot   = 2
# nbnd     = 863
# natomwfc = 860
# n_atoms  = 215

# Total k-point blocks found in file = 2
# Analysis mode = SPIN POLARIZED

============================================================
SPIN UP
============================================================

--- k-point 1  (k = 0.0000000000 0.0000000000 0.0000000000) ---

Band 1   energy = -8.33528 eV
159     0.000676       0.000000       0.000000       0.000000       0.000676       
184     0.000676       0.000000       0.000000       0.000000       0.000676       
205     0.000676       0.000000       0.000000       0.000000       0.000676       
215     0.002401       0.000000       0.000000       0.000004       0.002405       
tot     0.007922       0.000163       0.000179       0.000160       0.993000

Band 21   energy = -5.27918 eV
atom    s              p_x            p_y            p_z            tot            
84      0.000144       0.000001       0.000000       0.000000       0.000145       
88      0.000144       0.000000       0.000001       0.000000       0.000145       
116     0.000529       0.000000       0.000000       0.000000       0.000529       
145     0.000484       0.000000       0.000000       0.000000       0.000484       
176     0.000484       0.000000       0.000000       0.000000       0.000484       
188     0.000484       0.000000       0.000000       0.000000       0.000484       
tot     0.005675       0.000118       0.000065       0.000226       0.993000

Band 22   energy = -5.26261 eV
atom    s              p_x            p_y            p_z            tot            
14      0.000196       0.000000       0.000000       0.000001       0.000197       
23      0.000169       0.000000       0.000000       0.000000       0.000169       
35      0.000169       0.000000       0.000000       0.000000       0.000169       
60      0.000196       0.000000       0.000000       0.000000       0.000196       
98      0.000196       0.000000       0.000000       0.000000       0.000196       
197     0.000144       0.000000       0.000000       0.000000       0.000144       
tot     0.003917       0.000062       0.000129       0.000144       0.993000

Band 23   energy = -5.26258 eV
atom    s              p_x            p_y            p_z            tot            
6       0.000121       0.000000       0.000000       0.000000       0.000121       
8       0.000100       0.000000       0.000000       0.000000       0.000100       
41      0.000100       0.000001       0.000000       0.000000       0.000101       
68      0.000121       0.000000       0.000001       0.000000       0.000122       
89      0.000121       0.000000       0.000000       0.000000       0.000121       
144     0.000100       0.000004       0.000000       0.000000       0.000104       
tot     0.003977       0.000176       0.000229       0.000000       0.993000

Band 24   energy = -5.22356 eV
atom    s              p_x            p_y            p_z            tot            
27      0.000324       0.000000       0.000000       0.000000       0.000324       
30      0.000324       0.000000       0.000000       0.000000       0.000324       
61      0.000324       0.000000       0.000000       0.000000       0.000324       
139     0.000144       0.000000       0.000000       0.000000       0.000144       
168     0.000144       0.000000       0.000000       0.000000       0.000144       
192     0.000144       0.000000       0.000000       0.000000       0.000144       
tot     0.004167       0.000096       0.000034       0.000293       0.993000

Band 25   energy = -5.21877 eV
atom    s              p_x            p_y            p_z            tot            
36      0.000121       0.000004       0.000000       0.000000       0.000125       
92      0.000144       0.000000       0.000000       0.000000       0.000144       
97      0.000144       0.000000       0.000000       0.000000       0.000144       
134     0.000121       0.000000       0.000000       0.000000       0.000121       
135     0.000121       0.000000       0.000000       0.000000       0.000121       
142     0.000121       0.000000       0.000000       0.000000       0.000121       
tot     0.004096       0.000317       0.000124       0.000000       0.993000

Band 26   energy = -5.21873 eV
atom    s              p_x            p_y            p_z            tot            
9       0.000144       0.000000       0.000000       0.000004       0.000148       
86      0.000196       0.000000       0.000000       0.000000       0.000196       
103     0.000196       0.000000       0.000000       0.000000       0.000196       
146     0.000144       0.000000       0.000000       0.000000       0.000144       
171     0.000169       0.000000       0.000000       0.000000       0.000169       
192     0.000169       0.000000       0.000001       0.000000       0.000170       
tot     0.004065       0.000023       0.000233       0.000139       0.993000

Band 27   energy = -5.02202 eV
atom    s              p_x            p_y            p_z            tot            
12      0.000196       0.000000       0.000001       0.000000       0.000197       
16      0.000196       0.000001       0.000000       0.000000       0.000197       
51      0.000196       0.000000       0.000001       0.000000       0.000197       
137     0.000441       0.000000       0.000000       0.000001       0.000442       
162     0.000441       0.000000       0.000000       0.000004       0.000445       
210     0.000441       0.000000       0.000000       0.000000       0.000441       
tot     0.005054       0.000157       0.000091       0.000327       0.993000

Band 28   energy = -4.45430 eV
atom    s              p_x            p_y            p_z            tot            
99      0.000289       0.000000       0.000000       0.000000       0.000289       
150     0.000100       0.000000       0.000000       0.000000       0.000100       
153     0.000100       0.000000       0.000000       0.000000       0.000100       
175     0.000100       0.000000       0.000000       0.000000       0.000100       
182     0.000100       0.000000       0.000000       0.000000       0.000100       
215     0.001156       0.000000       0.000000       0.000000       0.001156       
tot     0.004154       0.000264       0.000295       0.000197       0.993000

Band 29   energy = -4.30398 eV
atom    s              p_x            p_y            p_z            tot            
1       0.000169       0.000001       0.000001       0.000000       0.000171       
19      0.000081       0.000004       0.000004       0.000000       0.000089       
76      0.000100       0.000001       0.000000       0.000000       0.000101       
108     0.000169       0.000000       0.000000       0.000001       0.000170       
172     0.000121       0.000000       0.000000       0.000000       0.000121       
206     0.000169       0.000000       0.000000       0.000000       0.000169       
tot     0.003245       0.000275       0.000284       0.000039       0.993000

Band 30   energy = -4.30396 eV
atom    s              p_x            p_y            p_z            tot            
22      0.000100       0.000000       0.000000       0.000000       0.000100       
75      0.000144       0.000000       0.000000       0.000000       0.000144       
106     0.000081       0.000000       0.000000       0.000000       0.000081       
127     0.000144       0.000000       0.000000       0.000000       0.000144       
143     0.000144       0.000000       0.000000       0.000000       0.000144       
179     0.000100       0.000000       0.000000       0.000000       0.000100       
tot     0.003184       0.000124       0.000137       0.000457       0.993000

Band 31   energy = -4.28249 eV
atom    s              p_x            p_y            p_z            tot            
37      0.000121       0.000000       0.000000       0.000000       0.000121       
105     0.000144       0.000001       0.000000       0.000001       0.000146       
128     0.000169       0.000000       0.000000       0.000000       0.000169       
140     0.000121       0.000000       0.000000       0.000000       0.000121       
181     0.000196       0.000000       0.000000       0.000000       0.000196       
212     0.000121       0.000000       0.000000       0.000000       0.000121       
tot     0.003265       0.000174       0.000183       0.000251       0.993000

Band 32   energy = -4.28248 eV
atom    s              p_x            p_y            p_z            tot            
64      0.000121       0.000000       0.000000       0.000000       0.000121       
88      0.000121       0.000000       0.000004       0.000000       0.000125       
101     0.000144       0.000000       0.000004       0.000000       0.000148       
126     0.000196       0.000000       0.000001       0.000000       0.000197       
158     0.000225       0.000000       0.000000       0.000000       0.000225       
163     0.000121       0.000000       0.000001       0.000000       0.000122       
tot     0.003319       0.000319       0.000315       0.000091       0.993000

Band 33   energy = -4.23680 eV
atom    s              p_x            p_y            p_z            tot            
10      0.000289       0.000000       0.000000       0.000001       0.000290       
49      0.000289       0.000000       0.000000       0.000001       0.000290       
74      0.000289       0.000000       0.000000       0.000001       0.000290       
90      0.000196       0.000000       0.000000       0.000000       0.000196       
125     0.000484       0.000000       0.000000       0.000001       0.000485       
145     0.000100       0.000000       0.000000       0.000000       0.000100       
tot     0.003908       0.000269       0.000282       0.000239       0.993000

Band 34   energy = -3.87941 eV
atom    s              p_x            p_y            p_z            tot            
41      0.000004       0.000169       0.000000       0.000004       0.000177       
68      0.000004       0.000001       0.000196       0.000000       0.000201       
159     0.000400       0.000000       0.000000       0.000000       0.000400       
184     0.000400       0.000000       0.000000       0.000000       0.000400       
205     0.000400       0.000000       0.000000       0.000000       0.000400       
215     0.004356       0.000000       0.000000       0.000004       0.004360       
tot     0.007407       0.000411       0.000471       0.000227       0.994000

Band 35   energy = -3.42999 eV
atom    s              p_x            p_y            p_z            tot            
11      0.000324       0.000000       0.000004       0.000000       0.000328       
13      0.000361       0.000001       0.000000       0.000001       0.000363       
40      0.000324       0.000001       0.000001       0.000000       0.000326       
50      0.000324       0.000000       0.000004       0.000000       0.000328       
65      0.000324       0.000000       0.000004       0.000000       0.000328       
77      0.000361       0.000001       0.000000       0.000000       0.000362       
tot     0.005892       0.000409       0.000429       0.000341       0.994000

Band 36   energy = -3.42516 eV
atom    s              p_x            p_y            p_z            tot            
30      0.000324       0.000000       0.000000       0.000004       0.000328       
38      0.000289       0.000016       0.000000       0.000000       0.000305       
87      0.000225       0.000000       0.000000       0.000001       0.000226       
102     0.000625       0.000004       0.000000       0.000000       0.000629       
118     0.000900       0.000001       0.000000       0.000000       0.000901       
162     0.000289       0.000025       0.000000       0.000000       0.000314       
tot     0.005008       0.000319       0.000601       0.000144       0.994000

Band 37   energy = -3.42513 eV
atom    s              p_x            p_y            p_z            tot            
23      0.000256       0.000001       0.000001       0.000004       0.000262       
27      0.000256       0.000004       0.000000       0.000000       0.000260       
91      0.000484       0.000000       0.000000       0.000000       0.000484       
120     0.000324       0.000000       0.000000       0.000000       0.000324       
129     0.000729       0.000000       0.000000       0.000001       0.000730       
210     0.000225       0.000000       0.000000       0.000025       0.000250       
tot     0.004964       0.000486       0.000256       0.000341       0.994000

Band 38   energy = -3.41649 eV
atom    s              p_x            p_y            p_z            tot            
10      0.000441       0.000000       0.000000       0.000000       0.000441       
14      0.000441       0.000000       0.000000       0.000009       0.000450       
173     0.000196       0.000000       0.000000       0.000001       0.000197       
196     0.000529       0.000000       0.000000       0.000000       0.000529       
197     0.001369       0.000000       0.000000       0.000000       0.001369       
205     0.000256       0.000001       0.000000       0.000000       0.000257       
tot     0.005245       0.000427       0.000426       0.000259       0.994000

Band 39   energy = -3.41648 eV
atom    s              p_x            p_y            p_z            tot            
41      0.000196       0.000000       0.000000       0.000004       0.000200       
68      0.000361       0.000000       0.000000       0.000009       0.000370       
74      0.000361       0.000000       0.000000       0.000000       0.000361       
144     0.001089       0.000001       0.000000       0.000000       0.001090       
160     0.000400       0.000000       0.000000       0.000000       0.000400       
173     0.000576       0.000000       0.000004       0.000000       0.000580       
tot     0.005390       0.000336       0.000452       0.000246       0.994000

Band 40   energy = -3.40455 eV
atom    s              p_x            p_y            p_z            tot            
83      0.000256       0.000001       0.000000       0.000000       0.000257       
85      0.000256       0.000000       0.000001       0.000000       0.000257       
93      0.000256       0.000000       0.000000       0.000000       0.000256       
96      0.000256       0.000000       0.000000       0.000004       0.000260       
104     0.000256       0.000000       0.000000       0.000000       0.000256       
106     0.000256       0.000000       0.000000       0.000004       0.000260       
tot     0.005284       0.000302       0.000247       0.000510       0.994000

Band 41   energy = -3.39366 eV
atom    s              p_x            p_y            p_z            tot            
49      0.000361       0.000001       0.000000       0.000009       0.000371       
87      0.000225       0.000000       0.000000       0.000000       0.000225       
92      0.001225       0.000000       0.000000       0.000000       0.001225       
110     0.000144       0.000000       0.000000       0.000001       0.000145       
162     0.000400       0.000025       0.000000       0.000001       0.000426       
176     0.000289       0.000000       0.000000       0.000004       0.000293       
tot     0.004659       0.000219       0.000400       0.000278       0.994000

Band 42   energy = -3.39363 eV
atom    s              p_x            p_y            p_z            tot            
10      0.000225       0.000001       0.000000       0.000004       0.000230       
94      0.000625       0.000000       0.000000       0.000000       0.000625       
103     0.000784       0.000000       0.000000       0.000000       0.000784       
137     0.000196       0.000000       0.000004       0.000009       0.000209       
188     0.000196       0.000001       0.000000       0.000000       0.000197       
210     0.000256       0.000000       0.000000       0.000036       0.000292       
tot     0.004736       0.000331       0.000115       0.000512       0.994000

Band 43   energy = -3.38703 eV
atom    s              p_x            p_y            p_z            tot            
36      0.000049       0.000100       0.000000       0.000000       0.000149       
38      0.000081       0.000064       0.000000       0.000000       0.000145       
63      0.000049       0.000000       0.000100       0.000000       0.000149       
90      0.000361       0.000004       0.000000       0.000036       0.000401       
99      0.000289       0.000001       0.000000       0.000016       0.000306       
116     0.002601       0.000000       0.000000       0.000000       0.002601       
tot     0.005124       0.000396       0.000426       0.000270       0.994000

Band 44   energy = -3.37402 eV
atom    s              p_x            p_y            p_z            tot            
9       0.000441       0.000000       0.000000       0.000000       0.000441       
43      0.000256       0.000000       0.000000       0.000000       0.000256       
66      0.000256       0.000000       0.000000       0.000000       0.000256       
117     0.000361       0.000000       0.000000       0.000004       0.000365       
142     0.000196       0.000000       0.000000       0.000000       0.000196       
206     0.000361       0.000000       0.000000       0.000001       0.000362       
tot     0.004465       0.000298       0.000253       0.000261       0.994000

Band 45   energy = -3.37401 eV
atom    s              p_x            p_y            p_z            tot            
36      0.000225       0.000000       0.000004       0.000000       0.000229       
53      0.000256       0.000000       0.000000       0.000000       0.000256       
63      0.000256       0.000001       0.000000       0.000000       0.000257       
78      0.000256       0.000000       0.000000       0.000000       0.000256       
193     0.000256       0.000004       0.000000       0.000000       0.000260       
195     0.000256       0.000000       0.000004       0.000000       0.000260       
tot     0.004456       0.000187       0.000179       0.000638       0.994000

Band 46   energy = -3.36854 eV
atom    s              p_x            p_y            p_z            tot            
24      0.000144       0.000000       0.000000       0.000004       0.000148       
26      0.000144       0.000000       0.000000       0.000001       0.000145       
39      0.000144       0.000004       0.000000       0.000000       0.000148       
70      0.000144       0.000000       0.000004       0.000000       0.000148       
122     0.000144       0.000000       0.000004       0.000000       0.000148       
132     0.000144       0.000000       0.000004       0.000000       0.000148       
tot     0.004266       0.000274       0.000258       0.000370       0.994000

Band 47   energy = -3.36002 eV
atom    s              p_x            p_y            p_z            tot            
5       0.000289       0.000000       0.000000       0.000016       0.000305       
84      0.000196       0.000000       0.000000       0.000000       0.000196       
86      0.000361       0.000000       0.000000       0.000000       0.000361       
107     0.000400       0.000000       0.000000       0.000000       0.000400       
124     0.000225       0.000000       0.000000       0.000000       0.000225       
188     0.000324       0.000000       0.000000       0.000004       0.000328       
tot     0.004201       0.000201       0.000267       0.000378       0.994000

Band 48   energy = -3.36002 eV
atom    s              p_x            p_y            p_z            tot            
69      0.000361       0.000000       0.000009       0.000004       0.000374       
76      0.000100       0.000000       0.000000       0.000001       0.000101       
88      0.000529       0.000000       0.000000       0.000000       0.000529       
95      0.000441       0.000000       0.000000       0.000000       0.000441       
115     0.000289       0.000000       0.000004       0.000000       0.000293       
145     0.000441       0.000000       0.000000       0.000004       0.000445       
tot     0.004289       0.000295       0.000214       0.000310       0.994000

Band 49   energy = -3.31064 eV
atom    s              p_x            p_y            p_z            tot            
33      0.000169       0.000004       0.000000       0.000000       0.000173       
84      0.000256       0.000009       0.000000       0.000004       0.000269       
105     0.000625       0.000000       0.000000       0.000009       0.000634       
113     0.000225       0.000009       0.000000       0.000000       0.000234       
149     0.000225       0.000000       0.000016       0.000004       0.000245       
212     0.000196       0.000001       0.000049       0.000000       0.000246       
tot     0.004051       0.000402       0.000298       0.000122       0.994000

Band 50   energy = -3.31061 eV
atom    s              p_x            p_y            p_z            tot            
82      0.000576       0.000004       0.000001       0.000000       0.000581       
101     0.000225       0.000000       0.000000       0.000000       0.000225       
107     0.000225       0.000000       0.000000       0.000025       0.000250       
124     0.000196       0.000000       0.000000       0.000009       0.000205       
152     0.000196       0.000009       0.000009       0.000000       0.000214       
